"Time","{__name__=""gala_gopher_tcp_link_retran_packets"", client_ip=""172.31.0.1"", comm=""java"", container_id=""cb0f2804c608"", container_image=""springcommunity/spring-petclinic-api-gateway"", container_name=""/api-gateway"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", protocol=""10"", role=""server"", scenario=""gatewaynetLoss2h"", server_ip=""172.31.0.7"", server_port=""8080"", tgid=""2749960""}"
2025-05-16 20:50:15,0
2025-05-16 20:50:30,0
2025-05-16 20:50:45,0
2025-05-16 20:51:00,0
2025-05-16 20:51:15,0
2025-05-16 20:51:30,0
2025-05-16 20:51:45,0
2025-05-16 20:52:00,0
2025-05-16 20:52:15,0
2025-05-16 20:52:30,0
2025-05-16 20:52:45,0
2025-05-16 20:53:00,0
2025-05-16 20:53:15,0
2025-05-16 20:53:30,0
2025-05-16 20:53:45,0
2025-05-16 20:54:00,0
2025-05-16 20:54:15,0
2025-05-16 20:54:30,0
2025-05-16 20:54:45,0
2025-05-16 20:55:00,0
2025-05-16 20:55:15,0
2025-05-16 20:55:30,0
2025-05-16 20:55:45,0
2025-05-16 20:56:00,0
2025-05-16 20:56:15,0
2025-05-16 20:56:30,0
2025-05-16 20:56:45,0
2025-05-16 20:57:00,0
2025-05-16 20:57:15,0
2025-05-16 20:57:30,0
2025-05-16 20:57:45,0
2025-05-16 20:58:00,0
2025-05-16 20:58:15,0
2025-05-16 20:58:30,0
2025-05-16 20:58:45,0
2025-05-16 20:59:00,0
2025-05-16 20:59:15,0
2025-05-16 20:59:30,0
2025-05-16 20:59:45,0
2025-05-16 21:00:00,0
2025-05-16 21:00:15,0
2025-05-16 21:00:30,0
2025-05-16 21:00:45,0
2025-05-16 21:01:00,0
2025-05-16 21:01:15,0
2025-05-16 21:01:30,0
2025-05-16 21:01:45,0
2025-05-16 21:02:00,0
2025-05-16 21:02:15,0
2025-05-16 21:02:30,0
2025-05-16 21:02:45,0
2025-05-16 21:03:00,0
2025-05-16 21:03:15,0
2025-05-16 21:03:30,51
2025-05-16 21:03:45,51
2025-05-16 21:04:00,51
2025-05-16 21:04:15,51
2025-05-16 21:04:30,119
2025-05-16 21:04:45,119
2025-05-16 21:05:00,119
2025-05-16 21:05:15,119
2025-05-16 21:05:30,205
2025-05-16 21:05:45,205
2025-05-16 21:06:00,205
2025-05-16 21:06:15,205
2025-05-16 21:06:30,250
2025-05-16 21:06:45,250
2025-05-16 21:07:00,250
2025-05-16 21:07:15,250
2025-05-16 21:07:30,164
2025-05-16 21:07:45,164
2025-05-16 21:08:00,164
2025-05-16 21:08:15,164
2025-05-16 21:08:30,122
2025-05-16 21:08:45,122
2025-05-16 21:09:00,122
2025-05-16 21:09:15,122
2025-05-16 21:09:30,118
2025-05-16 21:09:45,118
2025-05-16 21:10:00,118
2025-05-16 21:10:15,118
2025-05-16 21:10:30,171
2025-05-16 21:10:45,171
2025-05-16 21:11:00,171
2025-05-16 21:11:15,171
2025-05-16 21:11:30,190
2025-05-16 21:11:45,190
2025-05-16 21:12:00,190
2025-05-16 21:12:15,190
2025-05-16 21:12:30,167
2025-05-16 21:12:45,167
2025-05-16 21:13:00,167
2025-05-16 21:13:15,167
2025-05-16 21:13:30,96
2025-05-16 21:13:45,96
2025-05-16 21:14:00,96
2025-05-16 21:14:15,96
2025-05-16 21:14:30,143
2025-05-16 21:14:45,143
2025-05-16 21:15:00,143
2025-05-16 21:15:15,143
2025-05-16 21:15:30,125
2025-05-16 21:15:45,125
2025-05-16 21:16:00,125
2025-05-16 21:16:15,125
2025-05-16 21:16:30,139
2025-05-16 21:16:45,139
2025-05-16 21:17:00,139
2025-05-16 21:17:15,139
2025-05-16 21:17:30,115
2025-05-16 21:17:45,115
2025-05-16 21:18:00,115
2025-05-16 21:18:15,115
2025-05-16 21:18:30,94
2025-05-16 21:18:45,94
2025-05-16 21:19:00,94
2025-05-16 21:19:15,94
2025-05-16 21:19:30,72
2025-05-16 21:19:45,72
2025-05-16 21:20:00,72
2025-05-16 21:20:15,72
2025-05-16 21:20:30,104
2025-05-16 21:20:45,104
2025-05-16 21:21:00,104
2025-05-16 21:21:15,104
2025-05-16 21:21:30,132
2025-05-16 21:21:45,132
2025-05-16 21:22:00,132
2025-05-16 21:22:15,132
2025-05-16 21:22:30,122
2025-05-16 21:22:45,122
2025-05-16 21:23:00,122
2025-05-16 21:23:15,122
2025-05-16 21:23:30,66
2025-05-16 21:23:45,66
2025-05-16 21:24:00,66
2025-05-16 21:24:15,66
2025-05-16 21:24:30,62
2025-05-16 21:24:45,62
2025-05-16 21:25:00,62
2025-05-16 21:25:15,62
2025-05-16 21:25:30,111
2025-05-16 21:25:45,111
2025-05-16 21:26:00,111
2025-05-16 21:26:15,111
2025-05-16 21:26:30,110
2025-05-16 21:26:45,110
2025-05-16 21:27:00,110
2025-05-16 21:27:15,110
2025-05-16 21:27:30,73
2025-05-16 21:27:45,73
2025-05-16 21:28:00,73
2025-05-16 21:28:15,73
2025-05-16 21:28:30,54
2025-05-16 21:28:45,54
2025-05-16 21:29:00,54
2025-05-16 21:29:15,54
2025-05-16 21:29:30,42
2025-05-16 21:29:45,42
2025-05-16 21:30:00,42
2025-05-16 21:30:15,42
2025-05-16 21:30:30,59
2025-05-16 21:30:45,59
2025-05-16 21:31:00,59
2025-05-16 21:31:15,59
2025-05-16 21:31:30,73
2025-05-16 21:31:45,73
2025-05-16 21:32:00,73
2025-05-16 21:32:15,73
2025-05-16 21:32:30,68
2025-05-16 21:32:45,68
2025-05-16 21:33:00,68
2025-05-16 21:33:15,68
2025-05-16 21:33:30,64
2025-05-16 21:33:45,64
2025-05-16 21:34:00,64
2025-05-16 21:34:15,64
2025-05-16 21:34:30,87
2025-05-16 21:34:45,87
2025-05-16 21:35:00,87
2025-05-16 21:35:15,87
2025-05-16 21:35:30,59
2025-05-16 21:35:45,59
2025-05-16 21:36:00,59
2025-05-16 21:36:15,59
2025-05-16 21:36:30,34
2025-05-16 21:36:45,34
2025-05-16 21:37:00,34
2025-05-16 21:37:15,34
2025-05-16 21:37:30,44
2025-05-16 21:37:45,44
2025-05-16 21:38:00,44
2025-05-16 21:38:15,44
2025-05-16 21:38:30,57
2025-05-16 21:38:45,57
2025-05-16 21:39:00,57
2025-05-16 21:39:15,57
2025-05-16 21:39:30,39
2025-05-16 21:39:45,39
2025-05-16 21:40:00,39
2025-05-16 21:40:15,39
2025-05-16 21:40:30,34
2025-05-16 21:40:45,34
2025-05-16 21:41:00,34
2025-05-16 21:41:15,34
2025-05-16 21:41:30,38
2025-05-16 21:41:45,38
2025-05-16 21:42:00,38
2025-05-16 21:42:15,38
2025-05-16 21:42:30,58
2025-05-16 21:42:45,58
2025-05-16 21:43:00,58
2025-05-16 21:43:15,58
2025-05-16 21:43:30,38
2025-05-16 21:43:45,38
2025-05-16 21:44:00,38
2025-05-16 21:44:15,38
2025-05-16 21:44:30,31
2025-05-16 21:44:45,31
2025-05-16 21:45:00,31
2025-05-16 21:45:15,31
2025-05-16 21:45:30,24
2025-05-16 21:45:45,24
2025-05-16 21:46:00,24
2025-05-16 21:46:15,24
2025-05-16 21:46:30,31
2025-05-16 21:46:45,31
2025-05-16 21:47:00,31
2025-05-16 21:47:15,31
2025-05-16 21:47:30,43
2025-05-16 21:47:45,43
2025-05-16 21:48:00,43
2025-05-16 21:48:15,43
2025-05-16 21:48:30,36
2025-05-16 21:48:45,36
2025-05-16 21:49:00,36
2025-05-16 21:49:15,36
2025-05-16 21:49:30,29
2025-05-16 21:49:45,29
2025-05-16 21:50:00,29
2025-05-16 21:50:15,29
2025-05-16 21:50:30,32
2025-05-16 21:50:45,32
2025-05-16 21:51:00,32
2025-05-16 21:51:15,32
2025-05-16 21:51:30,32
2025-05-16 21:51:45,32
2025-05-16 21:52:00,32
2025-05-16 21:52:15,32
2025-05-16 21:52:30,36
2025-05-16 21:52:45,36
2025-05-16 21:53:00,36
2025-05-16 21:53:15,36
2025-05-16 21:53:30,6
2025-05-16 21:53:45,6
2025-05-16 21:54:00,6
2025-05-16 21:54:15,6
2025-05-16 21:54:30,0
2025-05-16 21:54:45,0
2025-05-16 21:55:00,0
2025-05-16 21:55:15,0
2025-05-16 21:55:30,0
2025-05-16 21:55:45,0
2025-05-16 21:56:00,0
2025-05-16 21:56:15,0
2025-05-16 21:56:30,0
2025-05-16 21:56:45,0
2025-05-16 21:57:00,0
2025-05-16 21:57:15,0
2025-05-16 21:57:30,0
2025-05-16 21:57:45,0
2025-05-16 21:58:00,0
2025-05-16 21:58:15,0
2025-05-16 21:58:30,0
2025-05-16 21:58:45,0
2025-05-16 21:59:00,0
2025-05-16 21:59:15,0
2025-05-16 21:59:30,0
2025-05-16 21:59:45,0
2025-05-16 22:00:00,0
2025-05-16 22:00:15,0
2025-05-16 22:00:30,0
2025-05-16 22:00:45,0
2025-05-16 22:01:00,0
2025-05-16 22:01:15,0
2025-05-16 22:01:30,0
2025-05-16 22:01:45,0
2025-05-16 22:02:00,0
2025-05-16 22:02:15,0
2025-05-16 22:02:30,0
2025-05-16 22:02:45,0
2025-05-16 22:03:00,0
2025-05-16 22:03:15,0
2025-05-16 22:03:30,0
2025-05-16 22:03:45,0
2025-05-16 22:04:00,0
2025-05-16 22:04:15,0
2025-05-16 22:04:30,0
2025-05-16 22:04:45,0
2025-05-16 22:05:00,0
2025-05-16 22:05:15,0
2025-05-16 22:05:30,0
2025-05-16 22:05:45,0
2025-05-16 22:06:00,0
2025-05-16 22:06:15,0
2025-05-16 22:06:30,0
2025-05-16 22:06:45,0
2025-05-16 22:07:00,0
2025-05-16 22:07:15,0
2025-05-16 22:07:30,0
2025-05-16 22:07:45,0
2025-05-16 22:08:00,0
2025-05-16 22:08:15,0
2025-05-16 22:08:30,0
2025-05-16 22:08:45,0
2025-05-16 22:09:00,0
2025-05-16 22:09:15,0
2025-05-16 22:09:30,0
2025-05-16 22:09:45,0
2025-05-16 22:10:00,0
2025-05-16 22:10:15,0
2025-05-16 22:10:30,0
2025-05-16 22:10:45,0
2025-05-16 22:11:00,0
2025-05-16 22:11:15,0
2025-05-16 22:11:30,0
2025-05-16 22:11:45,0
2025-05-16 22:12:00,0
2025-05-16 22:12:15,0
2025-05-16 22:12:30,0
2025-05-16 22:12:45,0
2025-05-16 22:13:00,0
2025-05-16 22:13:15,0
2025-05-16 22:13:30,0
2025-05-16 22:13:45,0
2025-05-16 22:14:00,0
2025-05-16 22:14:15,0
2025-05-16 22:14:30,0
2025-05-16 22:14:45,0
2025-05-16 22:15:00,0
2025-05-16 22:15:15,0
2025-05-16 22:15:30,0
2025-05-16 22:15:45,0
2025-05-16 22:16:00,0
2025-05-16 22:16:15,0
2025-05-16 22:16:30,0
2025-05-16 22:16:45,0
2025-05-16 22:17:00,0
2025-05-16 22:17:15,0
2025-05-16 22:17:30,0
2025-05-16 22:17:45,0
2025-05-16 22:18:00,0
2025-05-16 22:18:15,0
2025-05-16 22:18:30,0
2025-05-16 22:18:45,0
2025-05-16 22:19:00,0
2025-05-16 22:19:15,0
2025-05-16 22:19:30,0
2025-05-16 22:19:45,0
2025-05-16 22:20:00,0
2025-05-16 22:20:15,0
2025-05-16 22:20:30,0
2025-05-16 22:20:45,0
2025-05-16 22:21:00,0
2025-05-16 22:21:15,0
2025-05-16 22:21:30,0
2025-05-16 22:21:45,0
2025-05-16 22:22:00,0
2025-05-16 22:22:15,0
2025-05-16 22:22:30,0
2025-05-16 22:22:45,0
2025-05-16 22:23:00,0
2025-05-16 22:23:15,0
2025-05-16 22:23:30,0
2025-05-16 22:23:45,0
2025-05-16 22:24:00,0
2025-05-16 22:24:15,0
2025-05-16 22:24:30,0
2025-05-16 22:24:45,0
2025-05-16 22:25:00,0
2025-05-16 22:25:15,0
2025-05-16 22:25:30,0
2025-05-16 22:25:45,0
2025-05-16 22:26:00,0
2025-05-16 22:26:15,0
2025-05-16 22:26:30,0
2025-05-16 22:26:45,0
2025-05-16 22:27:00,0
2025-05-16 22:27:15,0
2025-05-16 22:27:30,0
2025-05-16 22:27:45,0
2025-05-16 22:28:00,0
2025-05-16 22:28:15,0
2025-05-16 22:28:30,0
2025-05-16 22:28:45,0
2025-05-16 22:29:00,0
2025-05-16 22:29:15,0
2025-05-16 22:29:30,0
2025-05-16 22:29:45,0
2025-05-16 22:30:00,0
2025-05-16 22:30:15,0
2025-05-16 22:30:30,0
2025-05-16 22:30:45,0
2025-05-16 22:31:00,0
2025-05-16 22:31:15,0
2025-05-16 22:31:30,0
2025-05-16 22:31:45,0
2025-05-16 22:32:00,0
2025-05-16 22:32:15,0
2025-05-16 22:32:30,0
2025-05-16 22:32:45,0
2025-05-16 22:33:00,0
